id	name	followers	popularity	genres
2xgAJkalFHfceCNGETOkyM	GRX	76585	43	[]
6enyYil5r9snkIazgAX5DG	Jo Ann Kelly	998	20	['british blues']
40oYPr305MsT2lsiXr9fX9	The Boomtown Rats	116274	54	['new romantic', 'new wave', 'new wave pop', 'pub rock', 'punk', 'ska', 'synthpop']
3i8iJVU0mtgzbZsuF1AoJ3	sad alex	23548	52	['alt z', 'modern indie pop']
5oFkj1qSlyBUmV5d6Edgtq	Cozz	146831	57	['underground hip hop']
4imxqng3RrOBmykL2DhIJC	Ms Banks	128244	58	['uk hip hop']
3wcj11K77LjEY1PkEazffa	Burna Boy	1212920	80	['afro dancehall', 'dancehall', 'nigerian hip hop', 'nigerian pop']
3GDAPdQP9OYzIlhd7HkbJj	Holley Maher	7212	36	['indiecoustica']
2rYqBfxSvw45tW4WP5drQ2	Super American	4520	36	['anthem emo', 'buffalo ny indie', 'pop punk']
0qk8MxMzgnfFECvDO3cc0X	Charlene Soraia	50718	47	['neo-singer-songwriter']
7cjO66A26r7pMsU6TlW2UZ	Action Paxton	248	22	[]
7APomsYA0yqGA69xWSxpWB	Ache Brasil	304	7	['capoeira']
5o2KBzYUFierWmBhSemAhq	Ace Aura	15824	45	['dubstep', 'future bass', 'gaming dubstep', 'melodic dubstep']
30F766ZDjMVs5CZYLzVVsm	Matador! Soul Sounds	1367	19	['instrumental funk']
1YZbTL8pA4Xe9Ha7V4tLBu	Eduard Brunner	644	30	['classical clarinet']
3dKjmeRZcSUw617CoMzEA0	Nafe Smallz	152611	66	['afroswing', 'trap soul', 'uk hip hop']
3bb8SEudKsfPJOU3PMBXut	PARTYOFØNE	64	32	[]
5s6PllPLn5VlcNQofuTcsi	David Harewood	32	1	[]
330UIau66ZSsEGlHH5Wwwg	Mindland	122	42	[]
4NI5R1DbX27ODY5JTqnv2l	David Seville	1673	36	['novelty']
54N4voTBO17fp6dEegF4qa	Ben Seretan	1618	29	['experimental ambient']
1GaEeF01ebT6znhYvW1s7b	Domani Fendi	6	37	[]
2PCUhxD40qlMqsKHjTZD2e	Parachute	586525	63	['acoustic pop', 'charlottesville indie', 'indiecoustica', 'neo mellow', 'pop', 'pop punk', 'pop rock', 'post-teen pop', 'viral pop']
37OoTGz80W4Gd58QeXBmrh	Anthropological	29	49	['sleep']
5K5WYuWrH1riDA7600TlE6	Mauricio Hernandez Monterrubio	49	40	['chill guitar']
5o11IsGu9crJBiLe37pNWW	Joe Martin	9	48	[]
7biX22cIP5NyuORMdCWF8R	Timmid	51	52	['white noise']
6BmSO09b1cngqE8X2SEygU	Hugo Mari	1414	37	['jazz house']
56kr7ithHAvEeInwvWJoRs	seo hyun jin	33	27	[]
62dF8cnizj9GtioK3RUj6c	Sally Murrell	7	21	[]
3ZPRZDAAuBrvx1tsIjeFxh	Pat Lok	25902	47	['filter house', 'indie soul', 'nu disco']
07vycW8ICLf5hKb22PFWXw	Marcin Przybyłowicz	54106	63	['scorecore', 'video game music']
20qKLdeJMj9d5RUHe37Izw	Sinne Eeg	8874	37	['contemporary vocal jazz', 'danish jazz', 'danish modern jazz']
3kjuyTCjPG1WMFCiyc5IuB	Arcade Fire	1968780	70	['alternative dance', 'alternative rock', 'baroque pop', 'canadian indie', 'indie pop', 'indie rock', 'modern rock', 'new rave', 'permanent wave', 'quebec indie', 'rock', 'stomp and holler']
3COykW4UPvB0DqwnzlnfWt	Capella Istropolitana	6495	57	['chamber orchestra', 'symfonicky orchestr']
65qv2AiHO3xVWAs4SCKx4O	J. Monty	11967	40	['christian hip hop', 'christian trap']
3WH5Te2JfIJd5yOOkchwZE	Livia Michaels	1	47	['rain']
1tMtHqVsdmW0Yj9f4YnnHq	Karma To Burn	41122	33	['instrumental rock', 'instrumental stoner rock', 'palm desert scene', 'psychedelic doom', 'retro metal', 'space rock', 'stoner metal', 'stoner rock', 'west virginia indie', 'west virginia metal']
1KCSPY1glIKqW2TotWuXOR	P!nk	11548633	86	['dance pop', 'pop', 'post-teen pop']
3vDh2Mern1I2k53Oy0pDlD	Galwaro	9043	62	['melbourne bounce international']
1sylmUjlKYsLA49YtkNHW3	Cursive	83997	46	['emo', 'emo punk', 'indie pop', 'indie rock', 'omaha indie', 'post-hardcore', 'screamo']
380IcflDIu5cI1NrQAuQ3X	Abby Huston	217	23	[]
1TkVc0itnJ0CtHkLFPrQxn	Andy Biersack	4232	32	[]
2KgFtUjEtayfuximKppSAq	Josie Dunne	44436	57	['alt z', 'pop soul']
3uCDicSmenMBtsKb5A51dd	Jeon Sang Keun	13005	40	['korean ost', 'korean pop']
0IUwZRBFdts7QgNElmqsWR	Peter Maxwell Davies	2589	31	['british contemporary classical', 'contemporary classical']
4MXUO7sVCaFgFjoTI5ox5c	Sufjan Stevens	1360366	73	['baroque pop', 'chamber pop', 'freak folk', 'indie folk', 'singer-songwriter']
1fC9A3xwdrLvnAGydh8Ehy	Charles Olson	110	1	['beat poetry', 'experimental poetry']
