playlist_id	playlist_name	playlist_description	playlist_num_tracks	playlist_num_followers
37i9dQZF1DXcBWIGoYBM5M	Today's Top Hits	Doja Cat is on top of the Hottest 50!	50	29379379
37i9dQZF1DX0XUsuxWHRQd	RapCaviar	New music from Young Thug, Trippie Redd, Rod Wave and Gunna.	50	14030878
37i9dQZF1DX1lVhptIYRda	Hot Country	Today's top country hits of the week, worldwide! Cover: Kane Brown	53	6475778
37i9dQZF1DX10zKzsJ2jva	¡Viva Latino!	Today's top Latin hits are right here, on ¡Viva Latino! Cover: LIT Killah	50	11218997
37i9dQZF1DX4JAvHpjipBk	New Music Friday	New music from Lorde, Young Thug, Ed Sheeran, Shawn Mendes, and more!	100	3788318
37i9dQZF1DX4sWSpwq3LiO	Peaceful Piano	Relax and indulge with beautiful piano pieces	368	6282674
37i9dQZF1DX4SBhb3fqCJd	Are & Be	The pulse of R&B music today.  Cover: dvsn & Ty Dolla $ign	49	5707526
37i9dQZF1DWXRqgorJj26U	Rock Classics	Rock legends and epic songs that continue to inspire generations.	144	9296917
37i9dQZF1DX4dyzvuaRJ0n	mint	The world's biggest dance hits. Featuring new music from Juls & Niniola, Disclosure, R3HAB, Sigala & JP Cooper and more!	102	5854273
37i9dQZF1DXcF6B6QPhFDv	Rock This	The newest music from YUNGBLUD, along with the top Rock songs you need to know.	50	4565953
37i9dQZF1DWXJfnUiYjUKT	New Music Friday	The very best in new music from around the world.  Cover: Lorde	96	279802
37i9dQZF1DXcRXFNfZr7Tp	just hits	Current favorites and exciting new music. Cover: Shawn Mendes	100	2109387
37i9dQZF1DX4o1oenSJRJd	All Out 00s	The biggest songs of the 2000s.	150	9529670
37i9dQZF1DXbTxeAdrVG2l	All Out 90s	The biggest songs of the 1990s.	150	6805571
37i9dQZF1DX4UtSsGT1Sbe	All Out 80s	The biggest songs of the 1980s. Cover: ABBA.	150	8818602
37i9dQZF1DWTJ7xPn4vNaz	All Out 70s	The biggest songs of the 1970s. Cover: Yusuf / Cat Stevens.	150	4414741
37i9dQZF1DXaKIA8E7WcJj	All Out 60s	The biggest songs of the 1960s.	150	2513249
37i9dQZF1DWSV3Tk4GO2fq	All Out 50s	The biggest songs of the 1950s.	150	1404299
37i9dQZF1DWTwnEm1IYyoj	Soft Pop Hits	Listen to easy songs from your favorite artists! Cover: Adele	233	5399809
37i9dQZF1DX2A29LI7xHn1	Signed XOXO	Crossing over like Allen I. Cover: Yung Bleu	100	1850253
37i9dQZF1DX2RxBh64BHjQ	Most Necessary	The official voice of generation next. Cover: Sheff G	100	2526116
37i9dQZF1DWVA1Gq4XHa6U	Gold School	Taking it back. Cover: Jadakiss	50	2362745
37i9dQZF1DWY4xHQp97fN6	Get Turnt	Mode: Turnt	100	6044655
37i9dQZF1DWX3387IZmjNa	B.A.E.	Hip-Hop + R&B: Before. Anything. Else. Cover: K Camp	52	1849997
37i9dQZF1DWYkaDif7Ztbp	African Heat	The tracks heating up the continent right now! Cover: <a href="https://open.spotify.com/artist/3WTrdbZU99dgTtt3ZkyamT?si=KDlSUhucQZORkK6XshAfZw&dl_branch=1">Oxlade</a>	50	791503
37i9dQZF1DX5hR0J49CmXC	Mind Right	The Real hip-hop. Cover: Nas	50	1049780
37i9dQZF1DXan38dNVDdl4	Dancehall Official	The best in new & current Dancehall. Cover: Alkaline	75	931505
37i9dQZF1DWSvKsRPPnv5o	Westside Story	Holdin' it down for the westside. Cover: Remble	51	665766
37i9dQZF1DWUVpAXiEPK8P	Power Workout	For whatever activity you do that may need a punch of intensity!	50	3749500
37i9dQZF1DX0Tkc6ltcBfU	No Cap	The hottest out the south. Cover: Young Nudy	51	969600
37i9dQZF1DX1YPTAhwehsC	State of Mind	Up and down I-95. Cover: Bizzy Banks	50	383238
37i9dQZF1DWTggY0yqBxES	Alternative Hip Hop	New, leftfield and for the real hip-hop stans! Cover: Mick Jenkins	50	754918
37i9dQZF1DX0HRj9P7NxeE	Workout Twerkout	Get your body right with this workout twerkout	50	1717238
37i9dQZF1DWT6SJaitNDax	We Everywhere	Afro sounds crossing borders. Top Afro Bashment, Pop, Fusion / X-Overs from all across the world.  Cover: <a href="spotify:artist:3tVQdUvClmAT7URs9V3rsp">WizKid</a>	100	468577
37i9dQZF1DX2r0FByV5U4C	Black History Salute	Saluting the songs and artists that have filled us with pride.	26	263684
37i9dQZF1DXaKctwWdt4be	Behind The Lyrics: Hip Hop	Watch your screen as you listen to see lyrics, fun facts, and artist stories from Genius! (on mobile only)	50	48240
37i9dQZF1DWT2jS7NwYPVI	New Noise	Here's your cheat sheet for everything new in the rock/alt world. Cover: Palaye Royale	130	371188
37i9dQZF1DX82GYcclJ3Ug	The New Alt	No rules. No boundaries. Just cool music you need to hear. Cover: WILLOW	110	1022906
37i9dQZF1DX49jUV2NfGku	Rock Solid	New classics and essential cuts from all your favorite rock bands. Cover: Rage Against The Machine	80	1250056
37i9dQZF1DX1Jg9KZ76Rr9	Rock This: Best of 2017	A look back at some of the most impactful songs of 2017.	100	58608
37i9dQZF1DX8FwnYE6PRvL	Rock Party	The ultimate rock party playlist!	145	1935267
37i9dQZF1DX6mvEU1S6INL	You & Me	It's just us—and this awesome alt soundtrack.	100	698584
37i9dQZF1DX2SK4ytI2KAZ	It's ALT Good!	ALT the Good Vibes.	100	620085
37i9dQZF1DWZkHEX2YHpDV	The Scene	Call it pop-punk, emo, post-hardcore, whatever you want. We call it all awesome. Cover: Waterparks	125	396947
37i9dQZF1DWWJOmJ7nRx0C	Rock Hard	For those who like the newest songs loud. Very loud. Cover: Black Veil Brides	110	781800
37i9dQZF1DXdXKIWnpyigm	This Is Ryan Adams	The essential Ryan Adams, all in one place.	57	35635
37i9dQZF1DX2rBR3X9E86S	This Is The Black Keys	One of the most iconic bands of recent time. Here is the best of The Black Keys.	52	214597
37i9dQZF1DWUlZhYdX0uqM	This Is Tom Petty	Experience Tom Petty's final project, "Wildflowers & All The Rest," the way he originally envisioned it.	78	282512
37i9dQZF1DX82CY3GzF2m6	This Is Nirvana	The best of Nirvana, all in one place.	45	996053
37i9dQZF1DWWc7UGhP4Mpw	This Is Ramones	The essential Ramones, all in one playlist.	34	169089
